id;os;status;data;laudo;cliente;placa;peso_liquido;chave_nfe;numero_nf;ocorrencias_os
"24215761";"541629";"Finalizado";"28/04/2026";"MOB-40286262954111554055041172";"BUNGE ALIMENTOS S/A";"MBL-0A14";"37980";"41260479114450018960550010001598631401302895";"000159863";"6"
"24215576";"541629";"Finalizado";"28/04/2026";"MOB-15286262954111421542041172";"BUNGE ALIMENTOS S/A";"KEP-9D63";"37780";"41260479114450018960550010001598591381002899";"000159859";"6"
"24215508";"541629";"Finalizado";"28/04/2026";"MOB-57286262954111345734041170";"BUNGE ALIMENTOS S/A";"ASO-8J86";"38170";"41260479114450018960550010001598581594302892";"000159858";"6"
"24215416";"542118";"Finalizado";"28/04/2026";"MOB-59286211854211265926041175";"BUNGE ALIMENTOS S/A";"MIP-3B40";"37000";"41260479114450022134550010000667981305203210";"066798";"6"
"24215369";"542118";"Finalizado";"28/04/2026";"MOB-44286211854211214421041170";"BUNGE ALIMENTOS S/A";"AII-9A13";"39820";"41260479114450022134550010000667891951203210";"066789";"6"
"24215269";"542118";"Finalizado";"28/04/2026";"MOB-37286211854211133713041174";"BUNGE ALIMENTOS S/A";"AQT-0F20";"38200";"41260479114450022134550010000667881853003210";"066788";"6"
"24215149";"542118";"Finalizado";"28/04/2026";"MOB-39286211854211023902041177";"BUNGE ALIMENTOS S/A";"ABE-9D25";"37760";"41260479114450022134550010000667831447203217";"066783";"6"
"24214759";"534191";"Finalizado";"28/04/2026";"MOB-56286219153410220021041065";"BUNGE ALIMENTOS S/A";"GHL-5H07";"47030";"51260413724386000126550030000044441342366786";"4444";"22"
"24214467";"542118";"Finalizado";"28/04/2026";"MOB-03286211854209560356040967";"BUNGE ALIMENTOS S/A";"AFV-6180";"25100";"41260479114450022134550010000667661815903210";"066766";"6"
"24214464";"538795";"Finalizado";"28/04/2026";"MOB-12286279553809561256040968";"BUNGE ALIMENTOS S/A";"JVH-4G97";"37740";"41260476093731009309550010000127131128531465";"12713";"9"
"24214389";"541629";"Finalizado";"28/04/2026";"MOB-49286262954109504950040966";"BUNGE ALIMENTOS S/A";"SFN-3D06";"39420";"41260479114450018960550010001598471158502894";"000159847";"6"
"24214306";"541629";"Finalizado";"28/04/2026";"MOB-32286262954109433343040961";"BUNGE ALIMENTOS S/A";"HDI-6B14";"38140";"41260479114450018960550010001598461738802896";"000159846";"6"
"24214275";"541629";"Finalizado";"28/04/2026";"MOB-57286262954109335733040966";"BUNGE ALIMENTOS S/A";"AUL-3G91";"36310";"41260479114450018960550010001598451402102891";"000159845";"6"
"24214205";"542118";"Finalizado";"28/04/2026";"MOB-16286211854209311631040961";"BUNGE ALIMENTOS S/A";"ATO-2621";"30520";"41260479114450022134550010000667651770203217";"066765";"6"
"24214203";"541131";"Finalizado";"28/04/2026";"MOB-17286213154108291929040853";"BUNGE ALIMENTOS S/A";"MEC-8A44";"36860";"51260400019525303934559230000186121994644107";"612";"7"
"24214147";"541759";"Finalizado";"28/04/2026";"MOB-29286275954109063206040966";"BUNGE ALIMENTOS S/A";"AVL-9A01";"37620";"51260400024580783034559200000089411000504500";"8941";"26"
"24214132";"541759";"Finalizado";"28/04/2026";"MOB-51286275954108505350040850";"BUNGE ALIMENTOS S/A";"BEY-6D08";"49020";"51260400024580783034559200000089401000504449";"8940";"26"
"24213848";"541831";"Finalizado";"28/04/2026";"MOB-16286283154107521852040752";"BUNGE ALIMENTOS S/A";"BEA-8D33";"51260";"51260400059269189104559210000023771728371823";"2377";"1"
"24213648";"541844";"Finalizado";"28/04/2026";"MOB-13286284454106511551040644";"BUNGE ALIMENTOS S/A";"ELR-9560";"47920";"51260400059269189104559210000023761110864315";"2376";"2"
"24213617";"541844";"Finalizado";"28/04/2026";"MOB-53286284454106425542040641";"BUNGE ALIMENTOS S/A";"GCA-8H33";"47490";"51260400059269189104559210000023751372287652";"2375";"2"
"24213058";"541459";"Finalizado";"27/04/2026";"MOB-27276245954119413041041919";"BUNGE ALIMENTOS S/A";"AHU-9989";"48890";"51260405480855000938550010000048061835674406";"4805";"2"
"24212881";"541459";"Finalizado";"27/04/2026";"MOB-23276245954119122612041917";"BUNGE ALIMENTOS S/A";"QWD-5G02";"49220";"51260405480855000938550010000048051943778953";"4805";"2"
"24212801";"541522";"Finalizado";"27/04/2026";"MOB-15276252254118541754041813";"BUNGE ALIMENTOS S/A";"MWU-7D48";"39290";"51260400016840186920559240000032671767524936";"3267";"1"
"24212220";"541759";"Finalizado";"27/04/2026";"MOB-59276275954117330232041715";"BUNGE ALIMENTOS S/A";"QCB-1I93";"49580";"51260400024580783034559200000089381000504351";"8938";"26"
"24212168";"541759";"Finalizado";"27/04/2026";"MOB-02276275954116551555041610";"BUNGE ALIMENTOS S/A";"EGJ-5G34";"37760";"51260400024580783034559200000089361000504322";"8936";"26"
"24212092";"541175";"Finalizado";"27/04/2026";"MOB-42276217554118254325041811";"BUNGE ALIMENTOS S/A";"TVC-1D39";"47510";"51260400099470195191559230000185491162459100";"18549";"1"
"24211901";"541759";"Finalizado";"27/04/2026";"MOB-09276275954116141514041617";"BUNGE ALIMENTOS S/A";"DPC-0E62";"37860";"51260400024580783034559200000089351000504317";"8935";"26"
"24211385";"539448";"Finalizado";"27/04/2026";"MOB-33276244853916573557041610";"BUNGE ALIMENTOS S/A";"BCC-8F65";"39540";"51260400005370959935559200000015941000068374";"1594";"5"
"24211128";"541131";"Finalizado";"27/04/2026";"MOB-06276213154116441044041619";"BUNGE ALIMENTOS S/A";"KER-9D01";"50860";"51260400019525303934559230000186061108775919";"18606";"7"
"24210934";"533270";"Finalizado";"27/04/2026";"MOB-50276227053315265426041512";"BUNGE ALIMENTOS S/A";"RXP-0E78";"49320";"51260408895796002224550220000051241701575641";"5124";"6"
